New name,New artist
Phantasy Star Online OPENING THEME 〜The whole new world〜 (Lala Version),SEGA
Prenotion,SEGA
Image of hero,SEGA
Crossing3084,SEGA
Healing,SEGA
Chaotic bar,SEGA
Day Dawns,SEGA
Valentine,SEGA
Easter,SEGA
Day light,SEGA
Weird night,SEGA
Versus 1 -TrickTrack-,SEGA
Versus 2 -A Longing to ancient times-,SEGA
The nearest place to the heaven PART 1,SEGA
The nearest place to the heaven PART 2,SEGA
Can still see the light ~Phantasy Star Online ENDING THEME~ (Lala Version),SEGA
Can still see the light ~Phantasy Star Online ENDING THEME~ (Piano Version),SEGA
Leavin' flow,SEGA
Rose confession,SEGA
The whole ner world ~Phantasy Star Online EPISODE 2 OPENING THEME~,SEGA
Silent palace,SEGA
A longing to ancient times PART 1,SEGA
A longing to ancient times PART 2,SEGA
Revive the secred of rough wave,SEGA
Tricktrack PART 1,SEGA
Tricktrack PART 2,SEGA
"Growl, from the digital haze",SEGA
Jungle -A lush load-,SEGA
Jungle -A forest load-,SEGA
The frenzy wilds,SEGA
Abysmal ball -intermission-,SEGA
Abysmal ball -banquet-,SEGA
IDOLA have the immortal feather,SEGA
IDOLA have the divine blade,SEGA
World with me ~Phantasy Star Online EPISODE 2 ENDING THEME~,SEGA
